filename,time,Scenes,driverID,ques_score,style_score,car_name,x,y,veh_speed,test_a,test_jerk,emotion,emo_p,emo_a,emo_d,test_throttle,test_brake,test_steer,chuflag,TTC,delta_dist,longit_dist,delta_v,test_throttle_a
26_14_2,80333.830818,brake,26,3,36,"['tester', 'bra0']","[-26.898096680641174, 0.0]","[0.26019287109375, 0.0]","[45.8739478378393, 46.082397100523984]","[2.3551385692991307, -0.11922344984155386]",15.925658260784788,2,-1.0,0.99001185,-1.0,0.8838794827461243,0.0,0.0048964875750243,"[[False, False, True, True]]",-129.0390588779853,26.89935511069527,0.26019287109375,-0.208449262684681,0.1787814158358195
26_14_2,80333.86634,brake,26,3,36,"['tester', 'bra0']","[-26.46430265903473, 0.43387436866760254]","[0.28717041015625, 0.0]","[46.247463773731624, 46.044411869438086]","[2.920849801895926, -0.2970399493856986]",15.925658260784788,2,-1.0,0.99001185,-1.0,0.901083528995514,0.0,0.0048964875750243,"[[False, False, True, True]]",132.46946450114297,26.89970992888367,0.28717041015625,0.2030519042935381,0.1345335774209755
26_14_2,80333.900445,brake,26,3,36,"['tester', 'bra0']","[-26.014008164405823, 0.8798468112945557]","[0.31561279296875, 0.0]","[46.672766075529054, 45.98698083782007]","[3.4639943770929036, -0.467763211613646]",15.925658260784788,2,-1.0,0.99001185,-1.0,0.91238534450531,0.0,0.0048964875750243,"[[False, False, True, True]]",39.21614741306651,26.895706848660616,0.31561279296875,0.6857852377089841,0.0920508194087367
26_14_2,80333.934825,brake,26,3,36,"['tester', 'bra0']","[-25.561720490455627, 1.3229254484176636]","[0.34442138671875, 0.0]","[47.13017944615518, 45.91647264292343]","[3.6957321008798063, -0.5696803285350108]",6.740480622598002,2,-1.0,0.99001185,-1.0,0.9179871082305908,0.0,0.0048964875750243,"[[False, False, True, True]]",22.15085708285331,26.88685205356338,0.34442138671875,1.2137068032317515,0.0452601942805592
26_14_2,80333.967081,brake,26,3,36,"['tester', 'bra0']","[-25.121534943580627, 1.7492693662643433]","[0.37286376953125, 0.0]","[47.59557297983017, 45.83944131603202]","[4.007811929909783, -0.6633677706140761]",9.675093908542504,2,-1.0,0.99001185,-1.0,0.907987117767334,0.0,0.0040585692040622,"[[False, False, True, True]]",15.301133089149458,26.873391145306023,0.37286376953125,1.7561316637981506,-0.0861165404709152
26_14_2,80333.999483,brake,26,3,36,"['tester', 'bra0']","[-24.683754563331604, 2.1684001684188843]","[0.40142822265625, 0.0]","[48.07111438078667, 45.757335679038015]","[4.076749384345338, -0.7038800499669317]",2.1275678788588013,2,-1.0,0.99001185,-1.0,0.91238534450531,0.0,0.0040585692040622,"[[False, False, True, True]]",11.605325397565808,26.855155154193675,0.40142822265625,2.313778701748653,0.0377053777235592
26_14_2,80334.035818,brake,26,3,36,"['tester', 'bra0']","[-24.231640458106995, 2.5960863828659058]","[0.4312744140625, 0.0]","[48.5706994388983, 45.66883393924125]","[3.819282434690816, -0.6765877697043202]",-7.085921279081019,2,-1.0,0.99001185,-1.0,0.9023853540420532,0.0,0.0032206603791564,"[[False, False, True, True]]",9.244993210106903,26.83119313549218,0.4312744140625,2.901865499657049,-0.0764490196479382
26_14_2,80334.06852,brake,26,3,36,"['tester', 'bra0']","[-23.767462372779846, 3.029767155647278]","[0.46209716796875, 0.0]","[49.0881826823259, 45.575635544254055]","[4.395613277801667, -0.7916470874729654]",17.623718523865335,2,-1.0,0.99001185,-1.0,0.9067509174346924,0.0,0.0023827587720006,"[[False, False, True, True]]",7.629002110171544,26.8012134835692,0.46209716796875,3.512547138071845,0.0370820285632193
26_14_2,80334.101974,brake,26,3,36,"['tester', 'bra0']","[-23.305445313453674, 3.4560621976852417]","[0.492919921875, 0.0]","[49.605125031648704, 45.48167497283185]","[4.292314731183307, -0.7801805083183672]",-3.087778639506631,2,-1.0,0.99001185,-1.0,0.8967509269714355,0.0,0.0015448628691956,"[[False, False, True, True]]",6.490076787499059,26.76604666957984,0.492919921875,4.123450058816857,-0.0830326755650009
26_14_2,80334.135442,brake,26,3,36,"['tester', 'bra0']","[-22.842108368873596, 3.8783072233200073]","[0.5240478515625, 0.0]","[50.12092467337168, 45.387065521422244]","[4.281034967172542, -0.7852397267213469]",-0.3370313138738165,2,-1.0,0.99001185,-1.0,0.8867509365081787,0.0,-0.000130920408992,"[[False, False, True, True]]",5.64453118153926,26.72555398060572,0.5240478515625,4.733859151949439,-0.0829979421885409
26_14_2,80334.168465,brake,26,3,36,"['tester', 'bra0']","[-22.382032990455627, 4.292497038841248]","[0.5548095703125, 0.0]","[50.62851241510539, 45.29331094370821]","[4.269648273680298, -0.7886302957575221]",-0.344810995170429,2,-1.0,0.99001185,-1.0,0.886768102645874,0.0,-0.0026969711761921,"[[False, False, True, True]]",4.99972309805038,26.68029921015076,0.5548095703125,5.335201471397184,0.000144395469296
26_14_2,80334.205782,brake,26,3,36,"['tester', 'bra0']","[-21.901842713356018, 4.719510436058044]","[0.586669921875, 0.0]","[51.15223564062797, 45.19608880619122]","[3.898455763320017, -0.7236956160330735]",-9.947008341164969,2,-1.0,0.99001185,-1.0,0.8767681121826172,0.0,-0.0052892654202878,"[[False, False, True, True]]",4.46955958095206,26.6278167543464,0.586669921875,5.956146834436751,-0.0744372572282418
26_14_2,80334.236036,brake,26,3,36,"['tester', 'bra0']","[-21.41579496860504, 5.146427512168884]","[0.61859130859375, 0.0]","[51.673413909500496, 45.098640075662324]","[4.785209934732006, -0.8947276993391726]",29.310311743402515,2,-1.0,0.99001185,-1.0,0.8667681217193604,0.0,-0.0086934752762317,"[[False, False, True, True]]",4.040020714334995,26.569424501204377,0.61859130859375,6.574773833838172,-0.0918151361443399
26_14_2,80334.270761,brake,26,3,36,"['tester', 'bra0']","[-20.928585648536682, 5.569205641746521]","[0.6500244140625, 0.0]","[52.184941442336886, 45.0021251830421]","[4.0918929106710875, -0.7720573762609416]",-19.96593301544813,2,-1.0,0.99001185,-1.0,0.8567681312561035,0.0,-0.0120718255639076,"[[False, False, True, True]]",3.6890531977612864,26.505763052632265,0.6500244140625,7.182816259294789,-0.0799935242126382
26_14_2,80334.304949,brake,26,3,36,"['tester', 'bra0']","[-20.452622056007385, 5.977441191673279]","[0.67999267578125, 0.0]","[52.67283284787717, 44.909088149929204]","[3.9641216352337567, -0.75592665017818]",-3.737313544890053,2,-1.0,0.99001185,-1.0,0.8467681407928467,0.0,-0.015503017231822,"[[False, False, True, True]]",3.404293195610412,26.43880922650482,0.67999267578125,7.763744697947963,-0.0812500037864578
26_14_2,80334.339172,brake,26,3,36,"['tester', 'bra0']","[-19.930304169654846, 6.422338843345642]","[0.7117919921875, 0.0]","[52.71719352322671, 44.80801049790891]","[0.36006223346406424, -0.8204168411088274]",-105.31103061544351,2,-1.0,0.99001185,-1.0,0.8367681503295898,0.0,-0.0180702488869428,"[[False, False, True, True]]",3.331904563169671,26.362254107165903,0.7117919921875,7.909183025317802,-0.0811669090348111
26_14_2,80334.372794,brake,26,3,36,"['tester', 'bra0']","[-19.43426764011383, 6.8442076444625854]","[0.74078369140625, 0.0]","[52.71795795074672, 44.71257363873902]","[0.006315536787095174, -0.7884789324752696]",-10.521286562434629,2,-1.0,0.99001185,-1.0,0.826768159866333,0.0,-0.0205854661762714,"[[True, False, True, True]]",3.282600092685112,26.28891446521797,0.74078369140625,8.005384312007699,-0.0826177838815544
